"Date","trend"
2018-01-01,202.9566172
2018-02-01,201.6990292
2018-03-01,200.4414413
2018-04-01,198.5016414
2018-05-01,196.5618415
2018-06-01,194.1294911
2018-07-01,191.6971407
2018-08-01,189.0826789
2018-09-01,186.4682172
2018-10-01,181.6680578
2018-11-01,176.8678983
2018-12-01,169.6853075
2019-01-01,162.5027166
2019-02-01,155.3838559
2019-03-01,148.2649952
2019-04-01,142.5650377
2019-05-01,136.8650801
2019-06-01,135.239292
2019-07-01,133.6135039
2019-08-01,135.8604896
2019-09-01,138.1074753
2019-10-01,141.9456887
2019-11-01,145.7839021
2019-12-01,151.3605191
2020-01-01,156.937136
2020-02-01,164.2037556
2020-03-01,171.4703752
2020-04-01,178.1269196
2020-05-01,184.783464
2020-06-01,186.2240219
2020-07-01,187.6645797
2020-08-01,182.3813242
2020-09-01,177.0980687
2020-10-01,168.5148941
2020-11-01,159.9317196
2020-12-01,148.9221107
2021-01-01,137.9125018
2021-02-01,125.7231623
2021-03-01,113.5338229
2021-04-01,103.1021821
2021-05-01,92.67054127
2021-06-01,86.72582441
2021-07-01,80.78110755
2021-08-01,79.16094491
2021-09-01,77.54078227
2021-10-01,76.88285381
2021-11-01,76.22492535
2021-12-01,75.09163321
2022-01-01,73.95834106
2022-02-01,71.86451766
2022-03-01,69.77069426
2022-04-01,66.64118863
2022-05-01,63.511683
2022-06-01,60.48864116
2022-07-01,57.46559933
2022-08-01,55.94347636
2022-09-01,54.42135338
2022-10-01,55.20542948
2022-11-01,55.98950557
2022-12-01,57.78880714
2023-01-01,59.58810871
2023-02-01,62.32061376
2023-03-01,65.05311881
2023-04-01,71.23762607
2023-05-01,77.42213333
2023-06-01,84.20729323
2023-07-01,90.99245314
2023-08-01,97.59390373
2023-09-01,104.1953543
2023-10-01,110.8481935
2023-11-01,117.5010326
2023-12-01,124.1538717
